iChampionId,num,iAppearancesFrequency,sAveragingPick,sAveragingBan,sAveragingWin,iKill,iDeath,iAssists,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingOfferedRate,sOftenMemberName
2,2,117,0.3305,0.3220,0.4872,367,290,596,3.1368,2.4786,5.0940,0.6600000,LGDKui
3,2,59,0.1667,0.1215,0.4237,101,191,470,1.7119,3.2373,7.9661,0.6750000,SNON
4,2,45,0.1271,0.4350,0.5111,97,102,335,2.1556,2.2667,7.4444,0.6900000,LGDUniboy
5,1,2,0.0417,0.0208,0.5000,9,7,10,4.5000,3.5000,5.0000,0.7800000,RALeyan
7,1,11,0.0359,0.0098,0.2727,29,26,35,2.6364,2.3636,3.1818,0.6100000,BLGZeka
12,2,167,0.4718,0.3051,0.5030,139,522,1429,0.8323,3.1257,8.5569,0.7200000,RAHang
13,2,30,0.0847,0.0706,0.5333,117,70,194,3.9000,2.3333,6.4667,0.7050000,RAFoFo
14,2,46,0.1299,0.0706,0.3913,70,128,284,1.5217,2.7826,6.1739,0.6450000,RACube
15,1,3,0.0098,0.0000,0.0000,7,8,15,2.3333,2.6667,5.0000,0.7600000,ESrat
18,2,112,0.3164,0.2119,0.5179,456,246,486,4.0714,2.1964,4.3393,0.6300000,EDGScout
21,1,17,0.0556,0.0196,0.4706,52,29,81,3.0588,1.7059,4.7647,0.6500000,BLGAiming
22,1,2,0.0065,0.0000,0.0000,3,9,8,1.5000,4.5000,4.0000,0.5500000,V5y4
24,1,5,0.0163,0.0000,0.2000,10,15,12,2.0000,3.0000,2.4000,0.3900000,OMGNew
25,1,2,0.0065,0.0033,0.0000,1,6,16,0.5000,3.0000,8.0000,0.8000000,ESShiauC
26,2,4,0.0113,0.0226,0.5000,2,6,27,0.5000,1.5000,6.7500,0.6450000,V5Mole
30,1,8,0.0261,0.0131,0.6250,35,41,71,4.3750,5.1250,8.8750,0.6700000,RALeyan
31,1,6,0.0196,0.0065,0.5000,12,27,32,2.0000,4.5000,5.3333,0.5900000,TTChelizi
36,1,6,0.0196,0.0065,0.3333,8,19,26,1.3333,3.1667,4.3333,0.7000000,WEbeishang
38,2,6,0.0169,0.0056,1.0000,34,2,49,5.6667,0.3333,8.1667,0.6550000,SNAngel
39,2,17,0.0480,0.0565,0.5294,57,60,84,3.3529,3.5294,4.9412,0.5400000,RWForge
40,1,1,0.0033,0.0000,0.0000,0,4,4,0.0000,4.0000,4.0000,0.5000000,LNGIwandy
41,2,29,0.0819,0.0678,0.5862,94,71,170,3.2414,2.4483,5.8621,0.7150000,WEBreathe
42,2,10,0.0282,0.0113,0.5000,39,19,52,3.9000,1.9000,5.2000,0.6850000,OMGWuming
43,2,12,0.0339,0.0056,0.3333,4,35,67,0.3333,2.9167,5.5833,0.5850000,TTTeeen
44,1,1,0.0033,0.0000,0.0000,0,5,6,0.0000,5.0000,6.0000,0.4600000,BLGMark
48,1,3,0.0098,0.0000,0.3333,1,11,15,0.3333,3.6667,5.0000,0.6900000,RWHaro
51,1,2,0.0065,0.0000,0.5000,2,6,10,1.0000,3.0000,5.0000,0.7500000,WEJiumeng
54,2,7,0.0198,0.0282,0.1429,13,23,28,1.8571,3.2857,4.0000,0.5750000,ESzs
56,2,20,0.0565,0.1243,0.5500,52,56,154,2.6000,2.8000,7.7000,0.6650000,RALeyan
57,2,9,0.0254,0.0085,0.5556,8,29,63,0.8889,3.2222,7.0000,0.5550000,EDGMeiko
58,2,118,0.3333,0.5254,0.5254,268,300,672,2.2712,2.5424,5.6949,0.5250000,LGDGarvey
59,1,3,0.0098,0.0033,0.0000,3,14,17,1.0000,4.6667,5.6667,0.8100000,SNON
60,1,1,0.0033,0.0196,1.0000,3,2,8,3.0000,2.0000,8.0000,0.5500000,JDGKanavi
61,2,136,0.3842,0.3220,0.5368,396,272,966,2.9118,2.0000,7.1029,0.6800000,LGDUniboy
62,1,11,0.0359,0.0229,0.3636,24,42,65,2.1818,3.8182,5.9091,0.5700000,TTChelizi
64,2,6,0.0169,0.0056,0.6667,24,11,47,4.0000,1.8333,7.8333,0.7500000,RWHaro
67,1,19,0.0621,0.0327,0.3684,62,63,68,3.2632,3.3158,3.5789,0.5600000,BLGAiming
68,1,14,0.0458,0.0163,0.4286,37,38,95,2.6429,2.7143,6.7857,0.5500000,IGTheShy
69,1,5,0.0163,0.0229,0.6000,20,11,30,4.0000,2.2000,6.0000,0.5200000,TTTwila
72,1,4,0.0131,0.0065,0.7500,8,8,29,2.0000,2.0000,7.2500,0.7200000,ESH4cker
76,2,45,0.1271,0.3277,0.5778,152,103,261,3.3778,2.2889,5.8000,0.7450000,RALeyan
77,2,149,0.4209,0.2429,0.4631,343,349,944,2.3020,2.3423,6.3356,0.6750000,RNGWei
79,2,116,0.3277,0.3220,0.5603,159,308,767,1.3707,2.6552,6.6121,0.5650000,RNGMing
80,1,33,0.1078,0.3039,0.6970,132,72,183,4.0000,2.1818,5.5455,0.6400000,TESKarsa
81,2,13,0.0367,0.0113,0.3846,44,35,69,3.3846,2.6923,5.3077,0.4650000,TTSamD
84,2,11,0.0311,0.1610,0.5455,46,22,50,4.1818,2.0000,4.5455,0.6150000,SNAngel
85,1,9,0.0294,0.0131,0.1111,15,43,44,1.6667,4.7778,4.8889,0.5500000,FPXNuguri
89,2,86,0.2429,0.1384,0.4884,59,290,636,0.6860,3.3721,7.3953,0.5950000,LNGIwandy
98,1,4,0.0131,0.0000,0.5000,5,11,28,1.2500,2.7500,7.0000,0.5800000,V5ppgod
104,2,64,0.1808,0.0734,0.2969,223,156,278,3.4844,2.4375,4.3438,0.6450000,LNGTarzan
106,2,18,0.0508,0.0169,0.2222,24,59,99,1.3333,3.2778,5.5000,0.6500000,V5LANGX
110,2,18,0.0508,0.0282,0.7222,73,37,110,4.0556,2.0556,6.1111,0.6250000,LGDKramer
111,2,39,0.1102,0.0480,0.2564,26,154,259,0.6667,3.9487,6.6410,0.7000000,IGLucas
112,2,63,0.1780,0.0565,0.4921,175,167,355,2.7778,2.6508,5.6349,0.6650000,RNGCryin
113,2,9,0.0254,0.0085,0.6667,12,16,75,1.3333,1.7778,8.3333,0.6150000,TTXiaopeng
114,1,2,0.0065,0.0033,0.0000,5,5,2,2.5000,2.5000,1.0000,0.4700000,WEBreathe
117,2,4,0.0113,0.0000,0.2500,5,18,18,1.2500,4.5000,4.5000,0.6000000,TTTwila
119,2,4,0.0113,0.0028,0.5000,23,8,15,5.7500,2.0000,3.7500,0.5750000,TESJackeyLove
120,2,94,0.2655,0.2119,0.5426,286,264,751,3.0426,2.8085,7.9894,0.7600000,OMGAki
126,2,82,0.2316,0.2514,0.5854,243,250,466,2.9634,3.0488,5.6829,0.6150000,RACube
133,2,5,0.0141,0.0311,0.8000,40,14,24,8.0000,2.8000,4.8000,0.6550000,TES369
134,2,64,0.1808,0.1893,0.3125,154,170,268,2.4063,2.6563,4.1875,0.5800000,RAFoFo
141,2,9,0.0254,0.0056,0.5556,27,22,36,3.0000,2.4444,4.0000,0.5800000,SNSofM
142,2,65,0.1836,0.5395,0.4615,202,118,336,3.1077,1.8154,5.1692,0.6350000,ESirma
145,2,191,0.5395,0.3757,0.5759,997,422,824,5.2199,2.2094,4.3141,0.6450000,RAiBoy
147,2,26,0.0734,0.1525,0.4231,28,50,154,1.0769,1.9231,5.9231,0.7850000,TTTwila
150,2,141,0.3983,0.4237,0.5319,302,371,730,2.1418,2.6312,5.1773,0.5200000,EDGFlandre
163,1,22,0.0719,0.1176,0.7273,77,67,157,3.5000,3.0455,7.1364,0.6300000,JDGKanavi
164,2,46,0.1299,0.3446,0.5217,149,124,237,3.2391,2.6957,5.1522,0.5600000,TES369
