iChampionId,num,iAppearancesFrequency,sAveragingPick,sAveragingBan,sAveragingWin,iKill,iDeath,iAssists,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingOfferedRate,sOftenMemberName
2,2,70,0.2167,0.2693,0.5000,171,153,450,2.4429,2.1857,6.4286,0.6550000,WEbeishang
3,2,157,0.4861,0.2693,0.5223,223,423,1201,1.4204,2.6943,7.6497,0.6700000,VGSouthwind
4,1,1,0.0034,0.0000,0.0000,1,2,0,1.0000,2.0000,0.0000,0.5000000,RWHuaTian
5,2,41,0.1269,0.1022,0.4390,90,123,232,2.1951,3.0000,5.6585,0.6000000,EDGClearlove
6,2,115,0.3560,0.1393,0.4957,392,271,513,3.4087,2.3565,4.4609,0.5450000,RNGZz1tai
7,2,58,0.1796,0.4180,0.5345,242,111,319,4.1724,1.9138,5.5000,0.7150000,WExiye
8,2,66,0.2043,0.3003,0.4697,179,155,298,2.7121,2.3485,4.5152,0.6150000,OMGAle
9,2,10,0.0310,0.0155,0.3000,9,41,81,0.9000,4.1000,8.1000,0.7550000,LGDRD
10,2,5,0.0155,0.0093,0.4000,20,14,24,4.0000,2.8000,4.8000,0.6350000,RNGZz1tai
12,2,126,0.3901,0.2601,0.5238,97,381,1028,0.7698,3.0238,8.1587,0.6700000,JDGTeeen
13,2,72,0.2229,0.2786,0.3472,172,220,263,2.3889,3.0556,3.6528,0.5550000,JDGZoom
14,2,87,0.2693,0.1115,0.4483,117,216,527,1.3448,2.4828,6.0575,0.5750000,SDGChanghong
15,2,26,0.0805,0.0279,0.5000,99,51,134,3.8077,1.9615,5.1538,0.7000000,EDGiBoy
16,1,4,0.0137,0.0034,0.5000,2,8,25,0.5000,2.0000,6.2500,0.6000000,FPXCrisp
18,1,6,0.0205,0.0068,0.3333,20,11,19,3.3333,1.8333,3.1667,0.5700000,RNGUzi
22,2,22,0.0681,0.0619,0.6364,79,47,140,3.5909,2.1364,6.3636,0.7200000,OMGChelly
24,1,15,0.0514,0.0582,0.4000,49,44,33,3.2667,2.9333,2.2000,0.4300000,WEPoss
25,2,34,0.1053,0.1703,0.4706,39,87,298,1.1471,2.5588,8.7647,0.7950000,WEMissing
26,1,2,0.0068,0.0000,0.0000,0,5,1,0.0000,2.5000,0.5000,0.2500000,VGSouthwind
28,1,4,0.0137,0.0137,0.5000,16,10,17,4.0000,2.5000,4.2500,0.7800000,JDGLevi
29,1,1,0.0034,0.0000,0.0000,4,2,7,4.0000,2.0000,7.0000,0.4700000,SNSmlz
30,1,6,0.0205,0.0034,0.6667,23,15,39,3.8333,2.5000,6.5000,0.7500000,OMGicon
38,1,3,0.0103,0.0034,0.3333,12,5,3,4.0000,1.6667,1.0000,0.4000000,OMGicon
39,2,42,0.1300,0.3375,0.4048,143,138,191,3.4048,3.2857,4.5476,0.6000000,SNBiubiu
40,1,1,0.0034,0.0000,0.0000,0,2,4,0.0000,2.0000,4.0000,0.6600000,V5Ley
41,2,35,0.1084,0.1084,0.4857,106,90,193,3.0286,2.5714,5.5143,0.6550000,VGZdz
42,2,34,0.1053,0.0495,0.4118,132,76,145,3.8824,2.2353,4.2647,0.6650000,EDGScout
43,2,9,0.0279,0.0155,0.2222,7,20,55,0.7778,2.2222,6.1111,0.7400000,VGSouthwind
45,1,1,0.0034,0.0000,0.0000,1,3,2,1.0000,3.0000,2.0000,0.5000000,LGDRD
48,1,1,0.0034,0.0000,0.0000,0,1,2,0.0000,1.0000,2.0000,0.6600000,JDGFlawless
50,2,7,0.0217,0.0062,0.5714,24,13,41,3.4286,1.8571,5.8571,0.6550000,EDGScout
51,1,10,0.0342,0.0205,0.4000,26,20,43,2.6000,2.0000,4.3000,0.5800000,WEMystic
54,1,2,0.0068,0.0000,1.0000,11,1,15,5.5000,0.5000,7.5000,0.5700000,OMGXiyang
56,2,31,0.0960,0.1424,0.4516,64,76,162,2.0645,2.4516,5.2258,0.6200000,LGDCondi
57,1,1,0.0034,0.0000,0.0000,0,3,3,0.0000,3.0000,3.0000,0.7500000,SDGChanghong
58,2,30,0.0929,0.0341,0.6333,72,68,127,2.4000,2.2667,4.2333,0.4850000,IGTheShy
59,2,123,0.3808,0.1950,0.5366,192,342,1135,1.5610,2.7805,9.2276,0.8150000,WEbeishang
60,2,11,0.0341,0.0093,0.5455,28,43,74,2.5455,3.9091,6.7273,0.6500000,RWXiaoYao
61,2,2,0.0062,0.0000,0.5000,4,3,9,2.0000,1.5000,4.5000,0.5900000,SNMaple
64,2,85,0.2632,0.1672,0.4588,210,258,502,2.4706,3.0353,5.9059,0.7200000,VGAix
67,2,70,0.2167,0.1424,0.5143,311,157,254,4.4429,2.2429,3.6286,0.5950000,JDGImp
68,1,1,0.0034,0.0000,0.0000,0,4,3,0.0000,4.0000,3.0000,0.6000000,WEPoss
69,2,25,0.0774,0.3746,0.5600,75,61,132,3.0000,2.4400,5.2800,0.6600000,OMGicon
72,2,11,0.0341,0.0186,0.5455,15,30,92,1.3636,2.7273,8.3636,0.6050000,EDGClearlove
76,2,6,0.0186,0.0248,0.5000,22,20,18,3.6667,3.3333,3.0000,0.6300000,SDGXiaopeng
78,2,29,0.0898,0.0464,0.6552,65,53,203,2.2414,1.8276,7.0000,0.5800000,SNBiubiu
79,2,53,0.1641,0.1269,0.4906,102,150,359,1.9245,2.8302,6.7736,0.6150000,SSMaestro
81,2,86,0.2663,0.1455,0.4651,290,193,426,3.3721,2.2442,4.9535,0.7250000,JDGBvoy
83,2,41,0.1269,0.1765,0.4878,76,85,153,1.8537,2.0732,3.7317,0.4850000,WEPoss
84,2,51,0.1579,0.3220,0.5098,185,122,216,3.6275,2.3922,4.2353,0.4800000,EDGRay
85,2,49,0.1517,0.0898,0.5102,97,128,255,1.9796,2.6122,5.2041,0.5250000,VGZdz
89,2,4,0.0124,0.0000,0.2500,5,16,29,1.2500,4.0000,7.2500,0.5500000,BLGMni
90,1,1,0.0323,0.0000,1.0000,0,6,16,0.0000,6.0000,16.0000,0.6900000,JDGYagao
92,1,14,0.0479,0.0479,0.5000,47,31,59,3.3571,2.2143,4.2143,0.5600000,OMGicon
96,2,11,0.0341,0.0464,0.7273,68,21,65,6.1818,1.9091,5.9091,0.6100000,SDGGALA
98,1,1,0.0034,0.0000,0.0000,0,5,3,0.0000,5.0000,3.0000,0.7500000,JDGLvMao
103,1,2,0.0068,0.0000,0.5000,3,1,15,1.5000,0.5000,7.5000,0.7500000,EDGScout
