iMemberId,sMemberName,Name,iTeamId,sFavoriteHeros,num,iPosition,iAppearancesFrequency,iMVPFrequency,sAveragingGold,iKill,iAssists,iDeath,iLastLasthit,iKDA,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingLastLasthit,sAveragingWardPlaced,sAveragingWardKilled,sAveragingOfferedRate
5,EDGMeiko,Meiko,1,"201,12,223",2,辅助,44,3,8165.4545,37,410,98,1804,4.5612,0.8409,2.2273,9.3182,43,45.5,9.5,0.6865
8,BLGJinjiao,Jinjiao,57,"15,202,110",2,ADC,47,6,14628.0851,170,229,95,15062,4.2,3.617,2.0213,4.8723,318.5,12.5,13.5,0.6725
9,TESLokeN,LokeN,42,"516,31,150",1,ADC,1,0,14067,6,5,2,268,5.5,6,2,5,268,9,6,0.73
14,RNGUzi,Uzi,8,"81,145,15",2,ADC,47,12,16086.9362,231,274,86,16623,5.8721,4.9149,1.8298,5.8298,361,13.5,16.5,0.7445
35,FPXDoinb,Doinb,7,"13,43,112",2,中单,41,7,13797.1707,178,306,88,11378,5.5,4.3415,2.1463,7.4634,299.5,17,11,0.6685
46,JDGimp,imp,29,"15,145,236",1,ADC,36,3,14222.2778,136,189,88,10940,3.6932,3.7778,2.4444,5.25,303,13,12,0.665
48,LGDPyl,Pyl,4,"201,12,223",1,辅助,16,0,7449.625,10,116,56,651,2.25,0.625,3.5,7.25,40,42,10,0.682
53,RNGKarsa,Karsa,8,"64,59,79",2,打野,47,7,10830.2553,119,392,108,7338,4.7315,2.5319,2.2979,8.3404,158,35,20.5,0.7455
55,WExiye,xiye,12,"7,42,13",1,中单,37,3,13018.4595,149,181,97,10036,3.4021,4.027,2.6216,4.8919,271,12,7,0.607
58,WEMystic,Mystic,12,"81,22,15",1,ADC,35,7,14613.1429,176,192,101,10577,3.6436,5.0286,2.8857,5.4857,302,13,15,0.688
63,IGRookie,Rookie,2,"61,134,7",2,中单,33,2,11622.0909,123,169,106,7760,2.7547,3.7273,3.2121,5.1212,229.5,13.5,7,0.564
68,SNMaple,Maple,41,"7,142,268",2,中单,38,6,12763.9737,116,183,89,10354,3.3596,3.0526,2.3421,4.8158,265,15.5,6,0.4835
71,SNSmlz,Smlz,41,"202,15,110",2,ADC,38,7,14833.4737,130,210,102,12018,3.3333,3.4211,2.6842,5.5263,315,10.5,11,0.652
74,SNSwordArt,SwordArt,41,"223,412,111",2,辅助,38,0,8219.9474,27,304,90,1907,3.6778,0.7105,2.3684,8,43.5,45.5,10.5,0.657
76,LGDCondi,Condi,4,"79,64,421",1,打野,10,1,10351.7,23,77,28,1518,3.5714,2.3,2.8,7.7,151,23,16,0.745
88,BLGKuro,Kuro,57,"268,3,42",2,中单,47,7,12900.7234,139,263,96,12887,4.1875,2.9574,2.0426,5.5957,275,19,11.5,0.6305
100,LNGFlandre,Flandre,9,"8,150,41",2,上单,43,5,13845.6744,123,249,119,12418,3.1261,2.8605,2.7674,5.7907,276,11,8.5,0.576
104,OMGkRYST4L,kRYST4L,6,"110,15,81",1,ADC,12,0,13600.6667,30,59,39,3539,2.2821,2.5,3.25,4.9167,294,16,15,0.674
129,OMGWorld6,World6,6,"64,79,60",1,打野,20,0,9194.1,37,104,74,2657,1.9054,1.85,3.7,5.2,132,11,11,0.713
136,LGDEimy,Eimy,4,"79,60,421",1,打野,5,0,9497.4,6,28,20,711,1.7,1.2,4,5.6,142,26,16,0.654
148,RNGXiaohu,Xiaohu,8,"13,134,142",2,中单,47,8,12841.5106,169,315,97,12292,4.9897,3.5957,2.0638,6.7021,260,11.5,9,0.6655
185,WE957,957,12,"57,150,98",1,上单,1,0,11195,1,3,3,269,1.3333,1,3,3,269,17,5,0.66
200,EDGScout,Scout,1,"268,134,13",2,中单,44,10,12821.0909,164,225,89,11658,4.3708,3.7273,2.0227,5.1136,269.5,15,11.5,0.586
240,FPXGimGoon,GimGoon,7,"41,150,114",2,上单,41,5,12579.878,132,275,72,9767,5.6528,3.2195,1.7561,6.7073,253.5,15,5,0.597
250,EDGJinoo,Jinoo,1,"8,85,164",2,上单,44,5,12415.1818,133,215,101,11122,3.4455,3.0227,2.2955,4.8864,259.5,14.5,8.5,0.5805
268,LNGDuan,Duan,9,"201,12,223",2,辅助,38,4,8362.3947,27,342,112,1721,3.2946,0.7105,2.9474,9,44.5,53,14,0.666
271,OMGFive,Five,6,"201,412,12",1,辅助,11,0,7311.5455,6,52,35,519,1.6571,0.5455,3.1818,4.7273,47,50,8,0.6
311,JDGZoom,Zoom,29,"516,41,58",1,上单,33,1,13304.8788,69,169,85,9336,2.8,2.0909,2.5758,5.1212,282,16,5,0.576
325,VGSouthwind,Southwind,11,"201,412,223",1,辅助,38,1,8364.2895,28,235,84,2032,3.131,0.7368,2.2105,6.1842,53,46,10,0.686
328,LGDLies,Lies,4,"57,98,150",1,上单,24,1,11776.8333,45,111,71,6021,2.1972,1.875,2.9583,4.625,250,16,5,0.519
355,OMGicon,icon,6,"7,13,134",1,中单,32,1,12538.0938,95,126,100,8757,2.21,2.9688,3.125,3.9375,273,13,5,0.625
