iChampionId,num,iAppearancesFrequency,sAveragingPick,sAveragingBan,sAveragingWin,iKill,iDeath,iAssists,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingOfferedRate,sOftenMemberName
2,2,49,0.1342,0.1151,0.4898,119,137,261,2.4286,2.7959,5.3265,0.72,SNSofM
3,2,80,0.2192,0.2959,0.4875,248,211,558,3.1,2.6375,6.975,0.705,IGRookie
4,2,81,0.2219,0.4137,0.5802,203,169,588,2.5062,2.0864,7.2593,0.735,IGRookie
6,1,1,0.003,0,1,3,2,5,3,2,5,0.61,TES369
7,1,51,0.1522,0.409,0.3725,188,111,233,3.6863,2.1765,4.5686,0.65,DMOTwila
8,1,1,0.003,0,1,2,3,1,2,3,1,0.15,IGTheShy
9,1,3,0.009,0.0149,0.6667,9,11,12,3,3.6667,4,0.63,V5Mole
10,2,20,0.0548,0.0877,0.65,64,50,108,3.2,2.5,5.4,0.595,BLGKingen
12,1,2,0.006,0,0.5,2,2,14,1,1,7,0.76,RWLey
13,1,3,0.009,0,0.3333,10,6,14,3.3333,2,4.6667,0.92,TESknight
14,1,2,0.006,0,0.5,1,6,15,0.5,3,7.5,0.65,VGCube
15,1,1,0.003,0.003,0,3,2,4,3,2,4,0.87,OMGSmlz
21,1,14,0.0418,0.003,0.2857,40,41,57,2.8571,2.9286,4.0714,0.67,JDGLokeN
22,2,205,0.5616,0.0986,0.5171,625,478,1321,3.0488,2.3317,6.4439,0.68,SNhuanfeng
24,2,14,0.0384,0.0301,0.5714,59,44,69,4.2143,3.1429,4.9286,0.58,TES369
25,2,6,0.0164,0.0137,0.6667,7,20,54,1.1667,3.3333,9,0.72,RNGMing
26,1,3,0.009,0.0119,0.6667,10,11,37,3.3333,3.6667,12.3333,0.87,BLGADD
28,1,1,0.0333,0,1,8,1,7,8,1,7,0.75,JDGKanavi
30,1,1,0.003,0.009,1,3,2,3,3,2,3,0.5,ESWei
38,1,14,0.0418,0.0896,0.5714,72,29,64,5.1429,2.0714,4.5714,0.7,ESFenfen
39,1,1,0.003,0.009,0,0,0,0,0,0,0,0,
40,1,2,0.006,0.003,1,1,1,29,0.5,0.5,14.5,0.76,LNGIwandy
41,2,29,0.0795,0.0603,0.5862,86,61,194,2.9655,2.1034,6.6897,0.64,SNBin
