iMemberId,sMemberName,Name,iTeamId,sFavoriteHeros,num,iPosition,iAppearancesFrequency,iMVPFrequency,sAveragingGold,iKill,iAssists,iDeath,iLastLasthit,iKDA,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingLastLasthit,sAveragingWardPlaced,sAveragingWardKilled,sAveragingOfferedRate
5,EDGMeiko,Meiko,1,"201,12,223",1,辅助,9,1,8693.6667,7,105,15,649,7.4667,0.7778,1.6667,11.6667,72,41,8,0.758
35,FPXDoinb,Doinb,7,"13,43,112",1,中单,12,4,13362.3333,59,69,17,3176,7.5294,4.9167,1.4167,5.75,264,13,10,0.668
53,TESKarsa,Karsa,42,"64,59,79",1,打野,7,0,9669,13,47,15,1132,4,1.8571,2.1429,6.7143,161,14,11,0.628
55,LGDxiye,xiye,4,"7,42,13",1,中单,11,2,12662.7273,43,73,28,2706,4.1429,3.9091,2.5455,6.6364,246,8,8,0.676
63,IGRookie,Rookie,2,"61,134,7",1,中单,10,0,11836.6,23,63,25,2407,3.44,2.3,2.5,6.3,240,11,11,0.63
71,UPSmlz,Smlz,685,"202,15,110",1,ADC,12,2,13814.5,41,62,33,3481,3.1212,3.4167,2.75,5.1667,290,20,12,0.615
100,EDGFlandre,Flandre,1,"8,150,41",1,上单,9,3,13039,37,55,16,2372,5.75,4.1111,1.7778,6.1111,263,8,7,0.665
148,RNGXiaohu,Xiaohu,8,"13,134,142",1,上单,5,0,13617.4,16,28,21,1498,2.0952,3.2,4.2,5.6,299,16,7,0.724
193,EDGViper,Viper,1,"429,15",1,ADC,9,0,13640.1111,37,69,13,2277,8.1538,4.1111,1.4444,7.6667,253,25,12,0.724
200,EDGScout,Scout,1,"268,134,13",1,中单,9,3,13134,38,67,15,2397,7,4.2222,1.6667,7.4444,266,14,5,0.725
311,JDGZoom,Zoom,29,"516,58,41",1,上单,13,1,12333.0769,35,78,38,3358,2.9737,2.6923,2.9231,6,258,12,5,0.605
329,RNGWei,Wei,8,"64,104,59",1,打野,5,0,10360.8,7,32,20,990,1.95,1.4,4,6.4,198,22,19,0.638
355,LNGicon,icon,9,"7,13,268",1,中单,16,6,13433.4375,61,119,35,4353,5.1429,3.8125,2.1875,7.4375,272,15,7,0.678
573,TTLangx,Langx,438,"58,516,164",1,上单,11,0,11737.2727,19,38,43,2829,1.3256,1.7273,3.9091,3.4545,257,11,6,0.614
592,SNSofM,SofM,41,"64,59,79",1,打野,10,1,11307.7,24,69,23,2120,4.0435,2.4,2.3,6.9,212,25,15,0.638
611,IGBaolan,Baolan,2,"201,223,12",1,辅助,2,0,8207,2,23,5,79,5,1,2.5,11.5,39,62,9,0.57
1187,JDGLokeN,LokeN,29,"81,110,498",1,ADC,10,0,13501.5,36,73,23,2891,4.7391,3.6,2.3,7.3,289,14,9,0.625
1245,LGDKramer,Kramer,4,"81,110,22",1,ADC,11,1,13596.9091,61,52,21,3179,5.381,5.5455,1.9091,4.7273,289,16,11,0.633
1260,RNGMing,Ming,8,"223,12,111",1,辅助,5,0,7454,3,44,18,177,2.6111,0.6,3.6,8.8,35,58,14,0.804
1266,FPXLwx,Lwx,7,"145,110,81",1,ADC,12,2,11699.25,32,92,32,2288,3.875,2.6667,2.6667,7.6667,190,24,11,0.656
1267,FPXCrisp,Crisp,7,"111,201,223",1,辅助,12,0,8286.0833,8,111,24,1090,4.9583,0.6667,2,9.25,90,35,8,0.639
