iMemberId,sMemberName,Name,iTeamId,sFavoriteHeros,num,iPosition,iAppearancesFrequency,iMVPFrequency,sAveragingGold,iKill,iAssists,iDeath,iLastLasthit,iKDA,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingLastLasthit,sAveragingWardPlaced,sAveragingWardKilled,sAveragingOfferedRate
2,EDGClearlove,Clearlove,1,"421,79,104",2,打野,24,1,10718.7083,34,172,55,3775,3.7455,1.4167,2.2917,7.1667,129.5,26,7.5,0.708
5,EDGMeiko,Meiko,1,"201,12,223",2,辅助,39,2,9521,30,309,95,2429,3.5684,0.7692,2.4359,7.9231,57.5,50,6.5,0.7245
7,RNGAmazingJ,AmazingJ,8,"78,41,164",1,上单,26,2,12086.0385,68,141,61,6328,3.4262,2.6154,2.3462,5.4231,243,14,7,0.512
8,BLGJinjiao,Jinjiao,57,"15,202,110",1,ADC,37,1,15581.0811,155,202,72,12489,4.9583,4.1892,1.9459,5.4595,337,15,14,0.696
9,EDGRay,Ray,1,"516,31,150",2,上单,38,6,13312.2368,112,174,90,10625,3.1778,2.9474,2.3684,4.5789,263,14,4.5,0.5455
14,RNGUzi,Uzi,8,"81,145,15",2,ADC,34,2,14727.2647,150,186,68,10874,4.9412,4.4118,2,5.4706,315.5,12.5,14,0.6725
15,OMGXiyang,Xiyang,6,"57,98,78",1,上单,9,0,11980.7778,17,33,18,2347,2.7778,1.8889,2,3.6667,260,12,7,0.402
35,FPXDoinb,Doinb,7,"13,43,112",2,中单,46,10,13672.8043,173,296,90,13430,5.2111,3.7609,1.9565,6.4348,286.5,14,6,0.7015
46,JDGImp,lmp,29,"15,145,236",2,ADC,50,6,13588.26,185,245,125,14330,3.44,3.7,2.5,4.9,282,12,10.5,0.6745
48,LGDPyl,Pyl,4,"201,12,223",1,辅助,24,0,9510.2917,12,176,65,1650,2.8923,0.5,2.7083,7.3333,68,51,10,0.629
53,RNGKarsa,Karsa,8,"64,59,79",2,打野,40,6,10787.125,128,283,123,6197,3.3415,3.2,3.075,7.075,152,24.5,11,0.7465
55,WExiye,xiye,12,"7,42,13",2,中单,37,9,13217.2703,149,207,85,10317,4.1882,4.027,2.2973,5.5946,272,9,7.5,0.6175
58,WEMystic,Mystic,12,"81,22,15",2,ADC,39,6,14615.1026,175,177,92,12422,3.8261,4.4872,2.359,4.5385,311.5,11,14,0.5495
61,RNGZz1tai,Zz1tai,8,"78,516,98",2,上单,12,0,11451,27,55,36,2871,2.2778,2.25,3,4.5833,234.5,14,4.5,0.487
63,IGRookie,Rookie,2,"61,134,7",2,中单,40,9,12623.6,162,288,98,10283,4.5918,4.05,2.45,7.2,265.5,12.5,8.5,0.6035
68,SNMaple,Maple,41,"7,142,268",1,中单,29,5,13173.1724,87,153,70,8495,3.4286,3,2.4138,5.2759,292,19,7,0.679
71,SNSmlz,Smlz,41,"202,15,110",1,ADC,36,5,15292.6667,123,166,96,12180,3.0104,3.4167,2.6667,4.6111,338,11,14,0.611
74,SNSwordArT,SwordArT,41,"223,412,111",1,辅助,37,1,9655.8108,33,307,82,2163,4.1463,0.8919,2.2162,8.2973,58,53,9,0.732
76,LGDCondi,Condi,4,"79,64,421",1,打野,38,5,10331.8684,89,227,100,5691,3.16,2.3421,2.6316,5.9737,149,15,12,0.709
88,BLGKuro,Kuro,57,"268,3,42",1,中单,37,7,13842.4054,129,232,60,10892,6.0167,3.4865,1.6216,6.2703,294,18,10,0.674
100,SSFlandre,Flandre,9,"8,150,41",1,上单,37,4,12406.9189,83,146,106,10350,2.1604,2.2432,2.8649,3.9459,279,13,7,0.543
148,RNGXiaohu,Xiaohu,8,"13,134,142",2,中单,40,10,12473.825,122,259,89,10571,4.2809,3.05,2.225,6.475,257,11.5,8,0.6535
200,EDGScout,Scout,1,"268,134,13",2,中单,39,5,13768.5897,123,217,75,11542,4.5333,3.1538,1.9231,5.5641,276,10.5,9.5,0.6065
240,FPXGimGoon,GimGoon,7,"41,150,114",2,上单,46,4,11878.5435,109,251,74,10958,4.8649,2.3696,1.6087,5.4565,230,13.5,3.5,0.5655
250,V5Jinoo,Jinoo,587,"8,85,164",1,上单,35,4,12697.3714,98,151,102,9198,2.4412,2.8,2.9143,4.3143,262,17,8,0.539
271,OMGFive,Five,6,"201,412,12",1,辅助,31,1,9035.9355,23,230,88,1948,2.875,0.7419,2.8387,7.4194,62,47,6,0.651
291,V5Road,Road,587,"201,432,412",1,辅助,11,0,8726.6364,7,74,46,731,1.7609,0.6364,4.1818,6.7273,66,43,12,0.607
311,JDGZoom,Zoom,29,"516,41,58",2,上单,56,6,13445.875,168,272,124,15747,3.5484,3,2.2143,4.8571,278,14,4.5,0.6405
325,VGSouthwind,Southwind,11,"201,412,223",1,辅助,39,3,9864.5385,33,281,120,2712,2.6167,0.8462,3.0769,7.2051,69,48,11,0.744
328,LGDLies,Lies,4,"57,98,150",1,上单,34,1,12403.4706,76,154,86,8675,2.6744,2.2353,2.5294,4.5294,255,13,4,0.574
355,OMGicon,icon,6,"7,13,134",1,中单,33,6,12630,119,146,103,8974,2.5728,3.6061,3.1212,4.4242,271,12,5,0.643
568,JDGBvoy,Bvoy,29,"15,202,81",1,ADC,6,1,12155,12,33,13,1578,3.4615,2,2.1667,5.5,263,10,8,0.621
573,SNXiaoAL,XiaoAL,41,"58,164,516",1,上单,33,1,13872.9697,86,140,83,9897,2.7229,2.6061,2.5152,4.2424,299,16,6,0.574
592,SSSofM,SofM,9,"64,79,59",1,打野,37,1,10033.1622,66,208,92,6051,2.9783,1.7838,2.4865,5.6216,163,24,18,0.716
611,IGBaolan,Baolan,2,"201,223,12",2,辅助,41,1,8361.9268,42,451,136,1878,3.625,1.0244,3.3171,11,49.5,46,5.5,0.6715
1167,JDGLevi,Levi,29,"64,421,2",1,打野,5,0,8847,7,12,16,685,1.1875,1.4,3.2,2.4,137,19,9,0.764
1179,JDGFlawless,Flawless,29,"59,64,121",2,打野,51,6,10312.4118,105,367,160,7755,2.95,2.0588,3.1373,7.1961,151,27,14,0.688
1180,V5Ben4,Ben4,587,"64,104,60",1,打野,23,2,10246.3043,46,159,68,3456,3.0147,2,2.9565,6.913,150,15,13,0.696
1181,SSMaestro,Maestro,9,"223,201,12",1,辅助,37,2,8840.6216,23,226,99,2070,2.5152,0.6216,2.6757,6.1081,55,50,4,0.666
1187,TOPLokeN,LokeN,42,"81,110,498",2,ADC,46,4,14023.3261,142,232,66,14085,5.6667,3.087,1.4348,5.0435,297,12,12,0.6095
1194,LGDRD,RD,4,"110,51,96",1,辅助,14,0,7814,13,93,58,397,1.8276,0.9286,4.1429,6.6429,28,38,7,0.717
1200,RNGUzi,Uzi,8,"223,201,12",1,ADC,23,0,9752,21,141,71,1673,2.2817,0.913,3.087,6.1304,72,44,5,0.683
1245,LGDKramer,Kramer,4,"81,110,145",1,ADC,37,6,14554.5135,148,165,73,11672,4.2877,4,1.973,4.4595,315,14,13,0.677
1260,RNGMing,Ming,8,"223,12,201",2,辅助,40,2,8884.4,40,361,118,1983,3.3983,1,2.95,9.025,43.5,53.5,7.5,0.746
1263,TOPBen,Ben4,42,"201,497,412",2,辅助,43,2,8613.0233,35,329,96,2247,3.7917,0.814,2.2326,7.6512,51,40,8,0.655
1266,FPXLwx,Lwx,7,"145,110,81",2,ADC,46,3,13968.6739,197,234,86,13740,5.0116,4.2826,1.8696,5.087,293.5,9.5,9.5,0.622
1267,FPXCrisp,Crisp,7,"201,223,111",2,辅助,46,1,8966.4348,35,397,106,2732,4.0755,0.7609,2.3043,8.6304,62.5,45,6,0.6635
1269,IGDuke,Duke,2,"41,266,98",1,上单,7,0,11822.8571,20,46,18,1662,3.6667,2.8571,2.5714,6.5714,237,12,5,0.552
1277,TOPCat,Cat,42,"223,12,412",1,辅助,3,0,9792,1,22,13,246,1.7692,0.3333,4.3333,7.3333,82,59,8,0.836
1397,V5Pepper,Pepper,1,"59,64,113",1,打野,13,0,10693.9231,30,65,42,2091,2.2619,2.3077,3.2308,5,160,21,13,0.633
1447,VGPuff,Puff,11,"110,523,81",1,ADC,39,1,14486.641,124,163,87,12935,3.2989,3.1795,2.2308,4.1795,331,12,14,0.699
1458,FPXTian,Tian,7,"64,79,60",2,打野,46,14,10595,140,327,104,6980,4.4904,3.0435,2.2609,7.1087,152.5,22.5,15.5,0.705
1464,JDGLvMao,LvMao,29,"223,12,201",2,辅助,55,2,8471.0545,56,424,186,2652,2.5806,1.0182,3.3818,7.7091,47,44,7,0.6935
1468,V5Corn,Corn,587,"3,39,7",1,中单,35,5,12644.7429,113,191,89,9493,3.4157,3.2286,2.5429,5.4571,271,14,6,0.676
1470,EDGHope,Hope,1,"21,145,81",1,ADC,6,1,13405,19,27,12,1682,3.8333,3.1667,2,4.5,280,12,12,0.573
1476,SNH4cker,4cker,41,"64,113,48",1,打野,22,1,10950,45,151,59,3862,3.322,2.0455,2.6818,6.8636,175,25,13,0.68
1477,IGWest,West,2,"18,498,96",1,ADC,3,0,12548.6667,7,19,10,817,2.6,2.3333,3.3333,6.3333,272,13,8,0.546
1478,IGTheShy,TheShy,2,"85,126,266",2,上单,34,6,12968.7059,119,218,109,8686,3.0917,3.5,3.2059,6.4118,259.5,11,3.5,0.5845
1479,IGNing,Ning,2,"64,59,79",2,打野,41,9,11437.2683,178,320,116,6591,4.2931,4.3415,2.8293,7.8049,157.5,20.5,12,0.6945
1483,TOPMoyu,Moyu,42,"150,41,85",2,上单,8,0,13530.875,25,35,36,2201,1.6667,3.125,4.5,4.375,287,14.5,10,0.714
1496,EDGMole,Mole,1,"142,13,39",1,上单,1,0,14761,3,4,3,305,2.3333,3,3,4,305,12,5,0.43
1520,SSAsura,Asura,9,"145,81,51",1,ADC,37,6,13857.973,125,131,71,11414,3.6056,3.3784,1.9189,3.5405,308,10,9,0.652
1522,EDGHaro,Haro,1,"64,113,2",2,打野,16,1,10530.125,39,79,41,2745,2.878,2.4375,2.5625,4.9375,160.5,15.5,11,0.6325
1534,JDGYagao,Yagao,29,"7,142,268",2,中单,56,8,12460.6607,154,329,145,14866,3.331,2.75,2.5893,5.875,262,13,6.5,0.6915
1563,OMGChelly,Chelly,6,"110,429,81",1,ADC,35,2,12612.2857,80,152,89,9994,2.6067,2.2857,2.5429,4.3429,285,12,11,0.498
