iTeamId,sTeamName,num,iAppearancesFrequency,iWin,iLoss,iKill,iDeath,sAveragingWin,sAveragingKill,sAveragingDeath,sAveragingWardPlaced,sAveragingWardKilled,sAveragingGold,sAveragingSmallDragon,sAveragingKillNeutral,sAveragingBigDragon
1,EDG,2,49,35,14,708,489,71.4286,14.449,9.9796,108.898,54.6735,58986.0204,2.7347,0.5,0.7347
2,IG,2,40,23,17,576,492,57.5,14.4,12.3,93.575,45.45,53237.1,2.525,0.25,0.725
4,LGD,1,37,11,26,392,547,29.7297,10.5946,14.7838,96.1351,48.2162,52470.5135,1.9459,0.115,0.4324
6,OMG,1,38,11,27,397,570,28.9474,10.4474,15,100.8421,44.1579,51801.5263,1.9211,0.076667,0.5526
7,FPX,2,55,37,18,835,708,67.2727,15.1818,12.8727,96.0909,42.7636,55762.5636,2.1636,0.075,0.8727
8,RNG,2,54,38,16,873,638,70.3704,16.1667,11.8148,116.8519,56.2778,60069.537,2.6111,0.0625,1.0556
9,LNG,2,37,15,22,392,449,40.5405,10.5946,12.1351,105.0811,45.2703,52415.4054,1.9189,0.051111,0.4595
11,RA,2,44,24,20,542,565,54.5455,12.3182,12.8409,115.4318,58.1136,59197.3864,2.4091,0.046818,0.75
12,WE,2,39,22,17,517,472,56.4103,13.2564,12.1026,97.0769,49.9487,54656.2308,2.3333,0.041667,0.6667
29,JDG,2,37,25,12,571,484,67.5676,15.4324,13.0811,107.3784,51.5946,58330.5135,2.5676,0.017931,0.6757
41,SN,2,43,28,15,645,426,65.1163,15,9.907,118.8605,54.5814,57641.0233,2.3721,0.012561,0.6744
42,TES,2,47,30,17,789,566,63.8298,16.7872,12.0426,96.7872,54.0638,58389.617,2.3617,0.0125,0.8511
57,BLG,1,38,16,22,438,544,42.1053,11.5263,14.3158,105.5263,48.1053,55435.9737,2.1316,0.008596,0.6842
422,RW,1,34,3,31,293,590,8.8235,8.6176,17.3529,98.9706,43.8235,49148.3235,1.5,0.001043,0.2647
438,TT,1,38,12,26,424,598,31.5789,11.1579,15.7368,102.5789,47.5,54167.8421,2.0789,0.001073,0.6316
587,V5,1,38,15,23,456,539,39.4737,12,14.1842,91.8947,42.8421,52423.5526,1.6053,0.000852,0.5526
685,ES,1,36,7,29,376,559,19.4444,10.4444,15.5278,104.7222,48,51480.4444,1.6944,0.000672,0.1944
