iChampionId,num,iAppearancesFrequency,sAveragingPick,sAveragingBan,sAveragingWin,iKill,iDeath,iAssists,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingOfferedRate,sOftenMemberName
2,2,74,0.2327,0.6447,0.6216,262,182,370,3.5405,2.4595,5.0000,0.6750000,RNGKarsa
3,1,23,0.0801,0.0488,0.6087,23,72,224,1.0000,3.1304,9.7391,0.6800000,RNGMing
4,1,4,0.0139,0.0279,0.5000,12,8,21,3.0000,2.0000,5.2500,0.6000000,SNAngel
5,1,35,0.1220,0.0767,0.3429,66,126,188,1.8857,3.6000,5.3714,0.6000000,SNWeiwei
7,1,13,0.0453,0.1394,0.5385,38,22,88,2.9231,1.6923,6.7692,0.6600000,JDGYagao
8,2,49,0.1541,0.1038,0.4490,150,120,214,3.0612,2.4490,4.3673,0.4700000,TES369
9,1,5,0.0174,0.0174,0.4000,3,16,36,0.6000,3.2000,7.2000,0.6700000,JDGLvMao
12,2,45,0.1415,0.0943,0.6222,46,140,425,1.0222,3.1111,9.4444,0.6500000,LNGDuan
13,2,56,0.1761,0.2264,0.5357,152,160,253,2.7143,2.8571,4.5179,0.6150000,OMGCurse
14,1,19,0.0662,0.0105,0.6316,22,54,117,1.1579,2.8421,6.1579,0.4900000,WEPoss
15,2,96,0.3019,0.2516,0.4896,372,212,540,3.8750,2.2083,5.6250,0.7650000,IGJackeyLove
18,2,14,0.0440,0.0063,0.3571,40,33,51,2.8571,2.3571,3.6429,0.5700000,RNGUzi
22,1,16,0.0557,0.0244,0.4375,39,45,121,2.4375,2.8125,7.5625,0.6800000,RNGUzi
24,1,14,0.0488,0.0418,0.5714,51,31,49,3.6429,2.2143,3.5000,0.5800000,VGCube
25,2,19,0.0597,0.0755,0.6842,22,51,193,1.1579,2.6842,10.1579,0.6950000,RNGMing
26,1,1,0.0035,0.0035,0.0000,2,3,5,2.0000,3.0000,5.0000,0.7000000,DMOTwila
30,2,22,0.0692,0.1195,0.3636,75,72,125,3.4091,3.2727,5.6818,0.7350000,RWWeiYan
36,1,2,0.0070,0.0000,0.5000,3,8,9,1.5000,4.0000,4.5000,0.5900000,BLGADD
37,1,15,0.0523,0.0767,0.5333,32,30,98,2.1333,2.0000,6.5333,0.6900000,EDGiBoy
38,2,2,0.0063,0.0000,0.5000,6,5,8,3.0000,2.5000,4.0000,0.5150000,TESKnight9
39,2,71,0.2233,0.5629,0.4366,251,238,324,3.5352,3.3521,4.5634,0.4250000,FPXLwx
41,2,48,0.1509,0.2201,0.6667,109,94,316,2.2708,1.9583,6.5833,0.6550000,JDGZoom
42,2,84,0.2642,0.1164,0.5595,315,184,374,3.7500,2.1905,4.4524,0.6050000,LNGFenfen
43,2,63,0.1981,0.4937,0.5238,97,135,527,1.5397,2.1429,8.3651,0.7000000,SNMaple
44,1,11,0.0383,0.0105,0.2727,5,25,59,0.4545,2.2727,5.3636,0.6800000,LGDPyl
48,2,27,0.0849,0.0252,0.4074,46,78,200,1.7037,2.8889,7.4074,0.8900000,TESXx
50,1,1,0.0035,0.0000,0.0000,0,2,1,0.0000,2.0000,1.0000,0.2500000,V5y4
51,1,25,0.0871,0.0418,0.4400,78,61,112,3.1200,2.4400,4.4800,0.6100000,WEMystic
56,1,6,0.0209,0.0070,0.3333,16,22,52,2.6667,3.6667,8.6667,0.7200000,FPXDoinb
58,2,74,0.2327,0.2264,0.4324,183,202,314,2.4730,2.7297,4.2432,0.5450000,TESKnight9
59,2,96,0.3019,0.2013,0.5000,157,298,890,1.6354,3.1042,9.2708,0.8450000,LNGSofM
60,2,28,0.0881,0.0472,0.6071,59,88,152,2.1071,3.1429,5.4286,0.6200000,TESXx
61,1,2,0.0070,0.0035,0.5000,8,2,15,4.0000,1.0000,7.5000,0.7300000,V5y4
64,1,31,0.1080,0.0244,0.3548,64,99,168,2.0645,3.1935,5.4194,0.6300000,JDGKanavi
67,1,13,0.0453,0.0070,0.5385,61,29,53,4.6923,2.2308,4.0769,0.6500000,LNGAsura
68,2,20,0.0629,0.0377,0.4500,75,68,118,3.7500,3.4000,5.9000,0.7200000,FPXDoinb
69,1,6,0.0209,0.0314,0.5000,18,13,28,3.0000,2.1667,4.6667,0.7000000,DMOTwila
72,2,16,0.0503,0.0283,0.6250,15,39,133,0.9375,2.4375,8.3125,0.6150000,FPXDoinb
76,1,3,0.0105,0.0557,0.0000,5,12,8,1.6667,4.0000,2.6667,0.7200000,V5Ben4
78,2,11,0.0346,0.0094,0.4545,13,29,73,1.1818,2.6364,6.6364,0.7200000,DMOXiaopeng
79,2,88,0.2767,0.2264,0.5682,233,228,638,2.6477,2.5909,7.2500,0.6600000,LNGSofM
80,2,7,0.0220,0.0283,0.4286,18,32,58,2.5714,4.5714,8.2857,0.6600000,FPXDoinb
81,2,88,0.2767,0.1635,0.3750,291,183,339,3.3068,2.0795,3.8523,0.6300000,TESLokeN
82,2,19,0.0597,0.0660,0.5789,67,50,76,3.5263,2.6316,4.0000,0.5350000,FPXGimGoon
83,1,1,0.0035,0.0139,1.0000,0,3,2,0.0000,3.0000,2.0000,0.4000000,LGDLies
84,2,58,0.1824,0.2925,0.5172,209,147,235,3.6034,2.5345,4.0517,0.5600000,LNGFlandre
85,2,60,0.1887,0.1321,0.3667,140,191,262,2.3333,3.1833,4.3667,0.5500000,RWHolder
89,2,13,0.0409,0.0094,0.3077,15,42,94,1.1538,3.2308,7.2308,0.6350000,SNSwordArt
90,1,1,0.0035,0.0000,0.0000,1,4,2,1.0000,4.0000,2.0000,0.3700000,VGCorn
91,1,1,0.0035,0.0000,0.0000,3,5,1,3.0000,5.0000,1.0000,0.8000000,V5Mole
92,2,3,0.0094,0.0000,0.6667,11,4,27,3.6667,1.3333,9.0000,0.6800000,FPXDoinb
96,1,3,0.0105,0.0000,0.6667,16,10,15,5.3333,3.3333,5.0000,0.4800000,VGPuff
99,1,69,0.2404,0.2091,0.5942,69,144,643,1.0000,2.0870,9.3188,0.7200000,V5Max
101,1,1,0.0035,0.0000,1.0000,6,3,13,6.0000,3.0000,13.0000,0.9500000,TESKnight9
102,1,1,0.0323,0.0000,1.0000,1,0,7,1.0000,0.0000,7.0000,0.6600000,BLGMeteor
106,2,17,0.0535,0.0377,0.3529,13,62,113,0.7647,3.6471,6.6471,0.6500000,LNGDuan
110,2,39,0.1226,0.0566,0.5897,147,87,202,3.7692,2.2308,5.1795,0.6450000,VGPuff
111,2,104,0.3270,0.1981,0.4231,89,350,732,0.8558,3.3654,7.0385,0.5950000,RWHuanggai
112,1,12,0.0418,0.0105,0.4167,42,43,51,3.5000,3.5833,4.2500,0.5700000,FPXDoinb
113,2,81,0.2547,0.2830,0.4568,163,186,633,2.0123,2.2963,7.8148,0.6500000,FPXCrisp
114,1,12,0.0418,0.0314,0.4167,26,28,34,2.1667,2.3333,2.8333,0.4400000,LGDGarvey
117,1,7,0.0244,0.0035,0.5714,13,13,52,1.8571,1.8571,7.4286,0.7300000,DMOTwila
119,1,1,0.0035,0.0279,1.0000,6,4,10,6.0000,4.0000,10.0000,0.5600000,OMGkRYST4L
120,1,5,0.0174,0.0035,0.4000,13,13,34,2.6000,2.6000,6.8000,0.6900000,LGDLies
121,1,1,0.0035,0.0000,0.0000,5,6,1,5.0000,6.0000,1.0000,0.7500000,V5Ben4
126,2,52,0.1635,0.4560,0.5385,174,147,285,3.3462,2.8269,5.4808,0.6350000,SNAngel
127,1,5,0.0174,0.0035,0.4000,14,16,29,2.8000,3.2000,5.8000,0.7000000,LGDYuuki
