iTeamId,sTeamName,num,iAppearancesFrequency,iWin,iLoss,iKill,iDeath,sAveragingWin,sAveragingKill,sAveragingDeath,sAveragingWardPlaced,sAveragingWardKilled,sAveragingGold,sAveragingSmallDragon,sAveragingKillNeutral,sAveragingBigDragon
1,EDG,1,9,8,1,144,70,88.8889,16,7.7778,103,46.2222,59571,3.1111,0.52,1
2,IG,1,10,5,5,128,119,50,12.8,11.9,102.5,51.9,56362.1,2.4,0.26,0.9
4,LGD,1,11,6,5,172,152,54.5455,15.6364,13.8182,98.3636,54,56846.4545,1.8182,0.1225,0.8182
6,OMG,1,10,6,4,147,104,60,14.7,10.4,100.9,47.8,55288.1,2.2,0.08,0.7
7,FPX,1,12,9,3,190,139,75,15.8333,11.5833,99.8333,50.3333,57305.1667,3.1667,0.074286,0.6667
8,RNG,1,5,1,4,58,101,20,11.6,20.2,117.8,60.6,56720.4,1.8,0.05875,0.4
9,LNG,1,16,12,4,257,149,75,16.0625,9.3125,120.75,51.9375,61641.375,2.25,0.058889,0.9375
11,RA,1,12,8,4,140,139,66.6667,11.6667,11.5833,93.5833,47.8333,52076.8333,2.3333,0.049091,0.5833
12,WE,1,9,6,3,133,96,66.6667,14.7778,10.6667,100.7778,58,56999.8889,2.3333,0.043333,0.6667
29,JDG,1,13,8,5,205,179,61.5385,15.7692,13.7692,97.5385,44.6923,57674.2308,2.5385,0.017931,0.7692
41,SN,1,10,6,4,134,115,60,13.4,11.5,134.5,56.3,58758.9,2.1,0.012439,0.4
42,TES,1,7,3,4,95,83,42.8571,13.5714,11.8571,89.1429,41.4286,53304.5714,2.1429,0.011667,0.7143
57,BLG,1,11,4,7,107,141,36.3636,9.7273,12.8182,117.7273,51.4545,57320.3636,1.9091,0.008246,0.7273
422,RW,1,9,1,8,63,148,11.1111,7,16.4444,96.1111,42.1111,47243.3333,0.8889,0.00109,0.2222
438,TT,1,11,1,10,95,200,9.0909,8.6364,18.1818,102.3636,52.4545,52951.2727,2,0.001005,0.3636
587,V5,1,9,1,8,67,152,11.1111,7.4444,16.8889,88.8889,35.4444,45389.6667,1.4444,0.000767,0.2222
685,UP,1,12,3,9,155,206,25,12.9167,17.1667,117.4167,53.1667,57288.3333,2.4167,0.000715,0.5
