iTeamId,sTeamName,num,iAppearancesFrequency,iWin,iLoss,iKill,iDeath,sAveragingWin,sAveragingKill,sAveragingDeath,sAveragingWardPlaced,sAveragingWardKilled,sAveragingGold,sAveragingSmallDragon,sAveragingKillNeutral,sAveragingBigDragon
1,EDG,2,39,20,19,473,454,51.2821,12.1282,11.641,116.3333,54.4359,62042.9231,2.4103,0.455,0.5897
2,IG,2,41,30,11,717,585,73.1707,17.4878,14.2683,92.9512,40.8049,59072.1707,1.9512,0.2675,0.878
4,LGD,1,38,16,22,454,507,42.1053,11.9474,13.3421,101.7632,49.7105,58820.1842,2.0789,0.12,0.6053
6,OMG,1,35,12,23,389,501,34.2857,11.1143,14.3143,100.6857,39.3714,55747.2857,1.6286,0.076667,0.4857
7,FPX,2,46,32,14,654,460,69.5652,14.2174,10,109.8913,43.6957,59081.4565,2.2609,0.077143,0.913
8,RNG,2,40,23,17,552,512,57.5,13.8,12.8,115.625,50.575,58384.075,2.075,0.063125,0.675
9,SS,1,37,14,23,377,472,37.8378,10.1892,12.7568,112.7297,46.0811,56868,1.7297,0.053333,0.5405
11,VG,1,39,12,27,397,494,30.7692,10.1795,12.6667,110.2821,53.4615,59740.7436,1.5128,0.042727,0.6667
12,WE,2,39,21,18,511,476,53.8462,13.1026,12.2051,108.2564,50.0513,59701.6923,2.4615,0.045,0.5897
29,JDG,2,56,29,27,687,774,51.7857,12.2679,13.8214,110.9643,43.1429,57927.8393,1.8571,0.016552,0.8036
41,SN,1,37,16,21,465,483,43.2432,12.5676,13.0541,126.5135,51.9189,63277.8378,1.973,0.012439,0.5135
42,TES,2,46,29,17,571,475,63.0435,12.413,10.3261,103.5,51.413,59161.8696,2.3696,0.011786,0.7391
57,BLG,1,37,20,17,508,401,54.0541,13.7297,10.8378,130.1081,59.5946,64329,2.1622,0.008947,0.8378
422,RW,1,32,8,24,333,467,25,10.4063,14.5938,111.6563,39.2188,55388.9688,1.5625,0.001114,0.5
438,SDG,2,41,24,17,509,500,58.5366,12.4146,12.1951,104.8537,51.2439,59641.9268,2.3171,0.001233,0.8049
587,V5,1,35,13,22,445,493,37.1429,12.7143,14.0857,102.4,49.4571,58880.6857,1.9143,0.000801,0.5429
