iTeamId,sTeamName,num,iAppearancesFrequency,iWin,iLoss,iKill,iDeath,sAveragingWin,sAveragingKill,sAveragingDeath,sAveragingWardPlaced,sAveragingWardKilled,sAveragingGold,sAveragingSmallDragon,sAveragingKillNeutral,sAveragingBigDragon
1,EDG,2,49,27,22,616,522,55.1020,12.5714,10.6531,108.3673,52.3469,55636.2449,2.3878,0.470000,0.6531
2,IG,2,46,30,16,713,686,65.2174,15.5000,14.9130,94.7609,47.9348,54194.4130,1.9348,0.252500,0.6087
4,LGD,1,38,15,23,491,591,39.4737,12.9211,15.5526,114.7105,56.1053,57031.3158,2.2368,0.122500,0.5526
6,OMG,1,38,17,21,396,477,44.7368,10.4211,12.5526,98.8947,45.7895,54033.3947,1.8684,0.083333,0.6579
7,FPX,2,50,33,17,746,541,66.0000,14.9200,10.8200,114.9600,48.2000,57579.9200,2.6600,0.072857,0.7600
8,RNG,2,42,21,21,549,506,50.0000,13.0714,12.0476,126.5714,59.1190,58693.2143,2.6667,0.063125,0.4762
9,LNG,1,41,15,26,456,575,36.5854,11.1220,14.0244,101.0244,52.5366,53101.4390,2.3902,0.052222,0.4390
11,VG,1,43,21,22,509,529,48.8372,11.8372,12.3023,111.1628,54.8140,56158.1163,2.6279,0.045455,0.4419
12,WE,2,49,24,25,686,646,48.9796,14.0000,13.1837,101.5306,50.4898,53749.8571,2.5102,0.040000,0.6735
29,JDG,2,44,32,12,607,400,72.7273,13.7955,9.0909,108.5455,54.6136,58517.0000,2.6136,0.018276,0.8636
41,SN,1,41,19,22,565,606,46.3415,13.7805,14.7805,133.5366,53.1951,57379.0000,2.1951,0.012439,0.5366
42,TES,2,50,30,20,741,637,60.0000,14.8200,12.7400,112.3800,49.3600,58933.9000,2.5600,0.012381,0.8000
57,BLG,1,42,20,22,492,525,47.6190,11.7143,12.5000,124.1429,60.5000,58102.2143,2.4524,0.008772,0.7381
422,RW,1,40,18,22,558,645,45.0000,13.9500,16.1250,103.0500,54.2000,55431.5500,2.1500,0.001114,0.5250
438,DMO,1,35,14,21,425,460,40.0000,12.1429,13.1429,102.0000,50.8000,56250.3429,2.4000,0.001164,0.6000
587,V5,1,33,1,32,287,653,3.0303,8.6970,19.7879,91.0606,37.9394,47741.0909,1.4242,0.000716,0.0606
685,ES,2,41,24,17,685,540,58.5366,16.7073,13.1707,133.1463,66.4878,62135.1463,2.9756,0.000737,1.0732
