iMemberId,sMemberName,Name,iTeamId,sFavoriteHeros,num,iPosition,iAppearancesFrequency,iMVPFrequency,sAveragingGold,iKill,iAssists,iDeath,iLastLasthit,iKDA,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingLastLasthit,sAveragingWardPlaced,sAveragingWardKilled,sAveragingOfferedRate
5,EDGMeiko,Meiko,1,"201,12,223",2,辅助,49,2,7770.7959,50,455,132,1776,3.8258,1.0204,2.6939,9.2857,38.5,49,7,0.694
24,RWZiv,Ziv,422,"150,57,122",1,上单,34,0,9944.4706,47,131,107,7346,1.6636,1.3824,3.1471,3.8529,216,10,7,0.564
35,FPXDoinb,Doinb,7,"13,43,112",2,中单,55,5,12210.9091,165,415,116,14140,5,3,2.1091,7.5455,259.5,13.5,5,0.7145
53,TESKarsa,Karsa,42,"64,59,79",2,打野,47,8,11114.2979,158,349,113,8931,4.4867,3.3617,2.4043,7.4255,190.5,14.5,11.5,0.6615
55,JDGXiye,Xiye,29,"7,42,13",1,中单,2,0,9753.5,4,4,8,433,1,2,4,2,216,11,1,0.73
63,IGRookie,Rookie,2,"61,134,7",2,中单,40,5,11332.9,109,283,87,9524,4.5057,2.725,2.175,7.075,250,11.5,8.5,0.6495
100,EDGFlandre,Flandre,1,"8,150,41",2,上单,49,4,12357.0816,101,296,93,12893,4.2688,2.0612,1.898,6.0408,263.5,8,8,0.563
148,RNGXiaohu,Xiaohu,8,"13,134,142",2,上单,54,7,13135.963,185,398,141,14080,4.1348,3.4259,2.6111,7.3704,257,12.5,6.5,0.649
193,EDGViper,Viper,1,"429,15",2,ADC,49,11,14838.1837,250,241,84,15649,5.8452,5.102,1.7143,4.9184,312,27.5,16.5,0.6775
200,EDGScout,Scout,1,"268,134,13",2,中单,49,10,13208.7755,196,292,90,13832,5.4222,4,1.8367,5.9592,279.5,12,6,0.6815
304,TTTwila,Twila,438,"268,26,13",1,中单,33,2,11507.303,72,171,89,8374,2.7303,2.1818,2.697,5.1818,253,12,6,0.539
311,JDGZoom,Zoom,29,"516,58,41",2,上单,37,6,12379.4054,101,232,87,9509,3.8276,2.7297,2.3514,6.2703,251,13.5,5.5,0.57
329,RNGWei,Wei,8,"64,104,59",2,打野,54,12,11136.3519,167,444,127,9704,4.811,3.0926,2.3519,8.2222,178.5,23,16.5,0.694
346,V5y4,y4,587,"110,236,22",1,ADC,16,0,12083.4375,54,62,40,4208,2.9,3.375,2.5,3.875,263,10,6,0.649
355,LNGicon,icon,9,"7,13,268",2,中单,37,4,11535.027,95,177,91,9640,2.989,2.5676,2.4595,4.7838,213,9,4.5,0.5625
573,V5LANGX,LANGX,587,"58,516,164",1,上单,28,2,10852.0357,49,144,64,6496,3.0156,1.75,2.2857,5.1429,232,12,5,0.623
592,SNSofM,SofM,41,"64,59,79",2,打野,43,8,10833.6744,119,310,106,8338,4.0472,2.7674,2.4651,7.2093,189.5,20.5,16.5,0.6905
611,IGBaolan,Baolan,2,"201,223,12",1,辅助,12,0,6791.5833,11,105,36,419,3.2222,0.9167,3,8.75,34,43,9,0.683
1187,JDGLokeN,LokeN,29,"81,110,498",2,ADC,37,4,14202.3784,161,234,85,11216,4.6471,4.3514,2.2973,6.3243,322.5,15.5,15,0.68
1245,LGDKramer,Kramer,4,"81,110,22",1,ADC,32,4,13258.125,118,118,83,9247,2.8434,3.6875,2.5938,3.6875,288,14,12,0.632
1260,RNGMing,Ming,8,"223,12,111",2,辅助,54,4,7875.7222,48,559,157,2164,3.8662,0.8889,2.9074,10.3519,41,54.5,13,0.6875
1266,FPXLwx,Lwx,7,"145,110,81",2,ADC,55,11,13505.0545,279,265,126,15140,4.3175,5.0727,2.2909,4.8182,272.5,13.5,9,0.632
1267,FPXCrisp,Crisp,7,"111,201,223",2,辅助,55,4,7195.2909,41,509,159,2132,3.4591,0.7455,2.8909,9.2545,40.5,46,8.5,0.649
1276,RWQiuQiu,QiuQiu,422,"110,202,51",1,辅助,13,0,7016.1538,10,68,64,790,1.2188,0.7692,4.9231,5.2308,60,44,10,0.651
1443,RWBetty,Betty,422,"21,110,235",1,ADC,17,1,12242.2353,41,53,41,4859,2.2927,2.4118,2.4118,3.1176,285,18,13,0.597
1447,IGPuff,Puff,2,"110,81,523",1,ADC,16,3,12644.625,67,70,34,4468,4.0294,4.1875,2.125,4.375,279,10,10,0.589
1458,FPXTian,Tian,7,"64,79,60",2,打野,31,8,10283.871,83,214,82,5562,3.622,2.6774,2.6452,6.9032,178,14.5,12.5,0.673
1464,JDGLvMao,LvMao,29,"12,223,89",2,辅助,37,3,7358.5405,33,349,138,1272,2.7681,0.8919,3.7297,9.4324,34,44.5,7.5,0.6195
1473,V5Aodi,Aodi,587,"516,875,122",1,上单,6,1,9781,14,43,18,1145,3.1667,2.3333,3,7.1667,190,10,2,0.701
1476,ESH4cker,H4cker,685,"64,48,113",1,打野,36,3,10241.25,82,182,97,6797,2.7216,2.2778,2.6944,5.0556,188,12,13,0.689
1478,IGTheShy,TheShy,2,"85,126,266",2,上单,40,6,11368.725,110,204,120,9305,2.6167,2.75,3,5.1,248.5,8.5,5.5,0.483
1496,V5Mole,Mole,587,"142,13,134",1,中单,38,4,11738.1053,110,192,105,9645,2.8762,2.8947,2.7632,5.0526,253,9,6,0.654
1522,RWHaro,Haro,422,"64,113,2",1,打野,34,1,10333.7059,93,124,116,6387,1.8707,2.7353,3.4118,3.6471,187,13,11,0.721
1534,JDGYagao,Yagao,29,"7,142,3",2,中单,35,6,12667.7429,120,236,73,9167,4.8767,3.4286,2.0857,6.7429,255.5,9.5,9,0.6395
1579,RAFoFo,FoFo,11,"142,7,268",2,中单,44,4,13186.1364,129,251,79,12765,4.8101,2.9318,1.7955,5.7045,282,13,7,0.674
1644,V5y4,y4,587,"236,145,81",1,ADC,2,0,14135,8,13,2,608,10.5,4,1,6.5,304,16,9,0.72
1668,RAiBoy,iBoy,11,"145,81,110",2,ADC,44,9,14479.2273,147,189,96,14152,3.5,3.3409,2.1818,4.2955,322.5,10.5,15.5,0.572
1797,TTTeeen,Teeen,438,"412,201,111",1,辅助,38,3,7083.7632,18,297,136,1447,2.3162,0.4737,3.5789,7.8158,38,51,7,0.695
1831,OMGBright,Bright,6,"42,142,43",1,上单,2,0,11803.5,5,11,5,470,3.2,2.5,2.5,5.5,235,16,10,0.58
1832,TESJackeyLove,JackeyLove,42,"81,110,145",2,ADC,47,8,14270.7872,233,296,126,13330,4.1984,4.9574,2.6809,6.2979,281.5,13,14.5,0.6725
1846,OMGAlielie,Alielie,6,"36,126,13",1,上单,6,0,9270.1667,8,12,31,1243,0.6452,1.3333,5.1667,2,207,8,3,0.726
1852,TTCaptain,Captain,438,"142,7,126",1,中单,5,0,11732.8,4,13,15,1330,1.1333,0.8,3,2.6,266,14,12,0.586
1871,LNGLight,Light,9,"81,110,145",2,ADC,37,2,13268.973,139,141,74,11036,3.7838,3.7568,2,3.8108,267.5,9.5,8,0.788
1886,BLGAiming,Aiming,57,"498,429,110",1,ADC,38,3,13500.8947,138,143,93,11333,3.0215,3.6316,2.4474,3.7632,298,16,12,0.632
1971,TTXiaopeng,Xiaopeng,438,"64,421,56",1,打野,31,0,10950.0323,103,179,102,5844,2.7647,3.3226,3.2903,5.7742,188,10,15,0.672
1983,TTChelizi,Chelizi,438,"14,58,62",1,上单,38,2,11479.1842,80,176,112,9153,2.2857,2.1053,2.9474,4.6316,240,14,4,0.591
1984,BLGMeteor,Meteor,57,"48,2,59",1,打野,38,4,11334.1316,106,191,68,8162,4.3676,2.7895,1.7895,5.0263,214,9,12,0.713
2027,BLGBiubiu,Biubiu,57,"58,516,126",1,上单,38,3,11447.9737,85,200,158,8989,1.8038,2.2368,4.1579,5.2632,236,14,6,0.628
2046,RAAix,Aix,11,"2,59,113",1,打野,4,1,11311.5,5,20,10,867,2.5,1.25,2.5,5,216,18,12,0.659
2061,OMGkane,kane,6,"81,145,498",1,ADC,2,0,9330,2,9,8,422,1.375,1,4,4.5,211,10,7,0.679
